Player_ID,Player_Name,Team,Power,Innovation,Acceleration
1169,Yash Thakur,Punjab Kings,44,40,69
1170,Xavier Bartlett,Punjab Kings,73,85,58
1171,Lockie Ferguson,Punjab Kings,57,66,89
1172,Cooper Connolly,Punjab Kings,44,87,62
1173,Ben Dwarshuis,Punjab Kings,43,65,74
1174,Vishal Nishad,Punjab Kings,77,87,60
1175,Pravin Dubey,Punjab Kings,54,61,50
1176,Shubham Dubey,Rajasthan Royals,49,40,67
1177,Vaibhav Suryavanshi,Rajasthan Royals,87,42,95
1178,Lhuan-dre Pretorius,Rajasthan Royals,90,90,82
1179,Shimron Hetmyer,Rajasthan Royals,62,48,81
1180,Yashasvi Jaiswal,Rajasthan Royals,41,52,65
1181,Dhruv Jurel,Rajasthan Royals,54,92,42
1182,Riyan Parag,Rajasthan Royals,44,73,67
1183,Yudhvir Singh Charak,Rajasthan Royals,51,92,48
1184,Jofra Archer,Rajasthan Royals,63,93,83
1185,Tushar Deshpande,Rajasthan Royals,65,70,78
1186,Sandeep Sharma,Rajasthan Royals,49,56,48
1187,Kwena Maphaka,Rajasthan Royals,77,49,46
1188,Nandre Burger,Rajasthan Royals,66,90,48
1189,Ravindra Jadeja,Rajasthan Royals,82,56,66
1190,Sam Curran,Rajasthan Royals,48,45,71
1191,Donovan Ferreira,Rajasthan Royals,54,87,55
1192,Ravi Bishnoi,Rajasthan Royals,48,48,82
1193,Sushant Mishra,Rajasthan Royals,80,42,49
1194,Vignesh Puthur,Rajasthan Royals,91,46,40
1195,Yash Raj Punja,Rajasthan Royals,45,74,83
1196,Ravi Singh,Rajasthan Royals,69,59,49
1197,Brijesh Sharma,Rajasthan Royals,42,53,89
1198,Aman Rao,Rajasthan Royals,47,74,56
1199,Adam Milne,Rajasthan Royals,79,54,42
1200,Kuldeep Sen,Rajasthan Royals,52,80,93
1201,Rajat Patidar,Royal Challengers Bengaluru,61,43,83
1202,Virat Kohli,Royal Challengers Bengaluru,94,48,83
1203,Tim David,Royal Challengers Bengaluru,84,52,94
1204,Devdutt Padikkal,Royal Challengers Bengaluru,81,59,94
1205,Phil Salt,Royal Challengers Bengaluru,58,63,52
1206,Jitesh Sharma,Royal Challengers Bengaluru,44,73,85
1207,Krunal Pandya,Royal Challengers Bengaluru,54,94,61
1208,Jacob Bethell,Royal Challengers Bengaluru,94,45,61
1209,Romario Shepherd,Royal Challengers Bengaluru,72,53,74
1210,Swapnil Singh,Royal Challengers Bengaluru,89,69,54
1211,Josh Hazlewood,Royal Challengers Bengaluru,42,40,80
1212,Bhuvneshwar Kumar,Royal Challengers Bengaluru,79,72,80
1213,Rasikh Salam,Royal Challengers Bengaluru,47,64,45
1214,Yash Dayal,Royal Challengers Bengaluru,80,79,95
1215,Suyash Sharma,Royal Challengers Bengaluru,95,40,88
1216,Nuwan Thushara,Royal Challengers Bengaluru,95,55,62
1217,Abhinandan Singh,Royal Challengers Bengaluru,92,67,74
1218,Venkatesh Iyer,Royal Challengers Bengaluru,65,88,56
1219,Jacob Duffy,Royal Challengers Bengaluru,71,53,89
1220,Mangesh Yadav,Royal Challengers Bengaluru,65,91,55
1221,Satvik Deswal,Royal Challengers Bengaluru,90,84,52
1222,Jordan Cox,Royal Challengers Bengaluru,73,76,48
1223,Kanishk Chouhan,Royal Challengers Bengaluru,60,62,58
1224,Vihaan Malhotra,Royal Challengers Bengaluru,40,77,94
1225,Vicky Ostwal,Royal Challengers Bengaluru,92,85,70
1226,Travis Head,Sunrisers Hyderabad,77,48,78
1227,Abhishek Sharma,Sunrisers Hyderabad,85,44,42
1228,Aniket Verma,Sunrisers Hyderabad,80,93,63
1229,R Smaran,Sunrisers Hyderabad,86,41,46
1230,Ishan Kishan,Sunrisers Hyderabad,58,45,94
1231,Heinrich Klaasen,Sunrisers Hyderabad,66,55,43
1232,Nitish Kumar Reddy,Sunrisers Hyderabad,94,60,78
1233,Harsh Dubey,Sunrisers Hyderabad,87,91,55
1234,Kamindu Mendis,Sunrisers Hyderabad,89,43,77
1235,Harshal Patel,Sunrisers Hyderabad,51,66,43
1236,Brydon Carse,Sunrisers Hyderabad,51,91,72
1237,Pat Cummins,Sunrisers Hyderabad,48,40,58
1238,Jaydev Unadkat,Sunrisers Hyderabad,81,83,84
1239,Eshan Malinga,Sunrisers Hyderabad,85,57,40
1240,Zeeshan Ansari,Sunrisers Hyderabad,87,74,43
1241,Shivang Kumar,Sunrisers Hyderabad,88,51,88
1242,Salil Arora,Sunrisers Hyderabad,41,78,79
1243,Krains Fuletra,Sunrisers Hyderabad,83,41,64
1244,Praful Hinge,Sunrisers Hyderabad,88,71,77
1245,Amit Kumar,Sunrisers Hyderabad,59,47,60
1246,Onkar Tarmale,Sunrisers Hyderabad,83,52,50
1247,Sakib Hussain,Sunrisers Hyderabad,76,94,59
1248,Liam Livingstone,Sunrisers Hyderabad,48,73,52
1249,Shivam Mavi,Sunrisers Hyderabad,67,69,40
1250,Jack Edwards,Sunrisers Hyderabad,91,41,77
